"Critical_Level_MW","Horizon_Years","Lambda_z","Prob_AtLeastOne"
22000,1,5.80635852548524,0.996991634964845
22000,5,5.80635852548524,0.999999999999754
22000,10,5.80635852548524,1
23000,1,6.42359378088863,0.99837718629419
23000,5,6.42359378088863,0.999999999999989
23000,10,6.42359378088863,1
23500,1,6.59414406572258,0.998631642366187
23500,5,6.59414406572258,0.999999999999995
23500,10,6.59414406572258,1
